Ticker,Stock
ACC.NS,ACC
ADANIPORTS.NS,ADANIPORTS
ADANIPOWER.NS,ADANIPOWER
ALKEM.NS,ALKEM
AMBUJACEM.NS,AMBUJACEM
ASHOKLEY.NS,ASHOKLEY
ASIANPAINT.NS,ASIANPAINT
AUROPHARMA.NS,AUROPHARMA
AXISBANK.NS,AXISBANK
BAJAJ-AUTO.NS,BAJAJ-AUTO
BAJAJFINSV.NS,BAJAJFINSV
BAJFINANCE.NS,BAJFINANCE
BALKRISIND.NS,BALKRISIND
BANKBARODA.NS,BANKBARODA
BHARTIARTL.NS,BHARTIARTL
BHEL.NS,BHEL
BIOCON.NS,BIOCON
BOSCHLTD.NS,BOSCHLTD
BPCL.NS,BPCL
BRITANNIA.NS,BRITANNIA
CANBK.NS,CANBK
CHOLAFIN.NS,CHOLAFIN
CIPLA.NS,CIPLA
COALINDIA.NS,COALINDIA
COFORGE.NS,COFORGE
COLPAL.NS,COLPAL
CONCOR.NS,CONCOR
DABUR.NS,DABUR
DIVISLAB.NS,DIVISLAB
DLF.NS,DLF
DMART.NS,DMART
DRREDDY.NS,DRREDDY
EICHERMOT.NS,EICHERMOT
ETERNAL.NS,ETERNAL
GAIL.NS,GAIL
GODREJCP.NS,GODREJCP
GRASIM.NS,GRASIM
HCLTECH.NS,HCLTECH
HDFCBANK.NS,HDFCBANK
HEROMOTOCO.NS,HEROMOTOCO
HINDALCO.NS,HINDALCO
HINDPETRO.NS,HINDPETRO
HINDUNILVR.NS,HINDUNILVR
ICICIBANK.NS,ICICIBANK
IDEA.NS,IDEA
INDIGO.NS,INDIGO
INDUSINDBK.NS,INDUSINDBK
INDUSTOWER.NS,INDUSTOWER
INFY.NS,INFY
IOC.NS,IOC
IRB.NS,IRB
IRCTC.NS,IRCTC
IRFC.NS,IRFC
ITC.NS,ITC
JINDALSTEL.NS,JINDALSTEL
JSWENERGY.NS,JSWENERGY
JSWSTEEL.NS,JSWSTEEL
KOTAKBANK.NS,KOTAKBANK
LODHA.NS,LODHA
LT.NS,LT
LUPIN.NS,LUPIN
M&M.NS,M&M
MARICO.NS,MARICO
MARUTI.NS,MARUTI
MPHASIS.NS,MPHASIS
MUTHOOTFIN.NS,MUTHOOTFIN
NBCC.NS,NBCC
NESTLEIND.NS,NESTLEIND
NHPC.NS,NHPC
NMDC.NS,NMDC
NTPC.NS,NTPC
NYKAA.NS,NYKAA
OIL.NS,OIL
ONGC.NS,ONGC
PAYTM.NS,PAYTM
PERSISTENT.NS,PERSISTENT
PETRONET.NS,PETRONET
PFC.NS,PFC
PNB.NS,PNB
POLYCAB.NS,POLYCAB
POWERGRID.NS,POWERGRID
RECLTD.NS,RECLTD
RELIANCE.NS,RELIANCE
SAIL.NS,SAIL
SBIN.NS,SBIN
SHREECEM.NS,SHREECEM
SHRIRAMFIN.NS,SHRIRAMFIN
SUNPHARMA.NS,SUNPHARMA
TATACONSUM.NS,TATACONSUM
TATAPOWER.NS,TATAPOWER
TATASTEEL.NS,TATASTEEL
TCS.NS,TCS
TECHM.NS,TECHM
TITAN.NS,TITAN
TORNTPHARM.NS,TORNTPHARM
TORNTPOWER.NS,TORNTPOWER
TVSMOTOR.NS,TVSMOTOR
UBL.NS,UBL
ULTRACEMCO.NS,ULTRACEMCO
UNIONBANK.NS,UNIONBANK
VEDL.NS,VEDL
WIPRO.NS,WIPRO
ZYDUSLIFE.NS,ZYDUSLIFE
